configurationID,H264,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime
650,true,false,false,false,true,false,false,true,true,60,5,3179467,34.216,0.488,4.161
651,true,true,false,true,false,false,true,true,true,40,1,4872717,28.232,0.364,2.744
652,true,false,false,true,false,true,false,false,true,60,1,3625988,28.844,0.412,3.852
653,true,true,false,false,false,false,true,false,false,40,9,4164861,50.024,0.452,5.300
654,true,true,false,false,false,false,false,true,false,20,1,3055009,26.116,0.448,3.109
655,true,false,false,false,true,false,false,true,true,60,1,3194477,28.616,0.500,3.812
656,true,false,false,true,false,true,true,false,false,20,1,4873374,30.688,0.340,2.825
657,true,true,false,false,false,false,false,true,false,20,5,3032351,31.688,0.400,3.409
658,true,true,false,false,false,false,true,false,false,40,5,4168284,38.812,0.400,3.959
659,true,false,false,false,true,false,true,true,false,20,1,4272359,30.368,0.352,2.859
66,true,true,false,true,false,true,true,false,false,20,9,4779404,52.116,0.500,5.584
660,true,true,false,true,true,true,false,true,false,40,1,3598392,26.500,0.400,3.520
661,true,false,false,true,false,true,true,false,false,60,9,4837499,55.216,0.436,5.978
662,true,false,false,false,true,false,true,true,false,60,9,4257644,44.232,0.432,4.152
663,true,false,false,true,false,false,false,false,true,40,9,3571673,48.468,0.560,5.648
664,true,false,false,true,true,false,false,false,false,20,9,3558802,47.940,0.528,5.423
665,true,false,false,true,false,false,false,false,true,40,5,3582233,37.756,0.544,4.435
666,true,true,false,true,true,true,false,true,false,40,9,3583883,42.368,0.464,4.533
667,true,false,false,true,true,false,false,false,false,20,5,3565960,37.344,0.532,4.243
668,true,false,false,false,true,true,true,false,true,40,9,4295528,56.052,0.440,5.963
669,true,false,false,true,true,false,false,false,false,20,1,3594732,27.384,0.444,3.150
67,true,false,false,false,true,false,false,false,false,40,5,3140277,38.368,0.500,4.608
670,true,true,false,true,true,true,false,true,false,40,5,3588162,33.168,0.332,3.718
671,true,false,false,false,true,true,true,false,true,40,5,4300781,43.064,0.396,4.401
672,true,true,false,false,false,true,false,false,true,40,9,3077504,49.620,0.528,5.599
673,true,false,false,false,true,true,true,false,true,40,1,4326309,30.848,0.336,2.833
674,true,true,false,true,true,false,true,false,true,60,1,4922285,28.136,0.328,2.705
675,true,true,false,false,false,true,false,false,true,40,5,3082532,37.624,0.524,4.298
676,true,true,false,false,false,true,false,false,true,40,1,3112144,26.992,0.448,3.446
677,true,false,false,true,false,false,false,false,true,40,1,3608877,28.012,0.444,3.531
678,true,true,false,true,true,false,true,false,true,60,9,4871651,49.884,0.364,5.239
679,true,true,false,true,true,false,false,true,true,20,9,3562338,38.748,0.500,3.973
68,true,true,false,false,true,false,true,true,false,20,9,4235548,42.140,0.460,3.908
680,true,true,false,true,true,false,true,false,true,60,5,4884834,38.580,0.408,3.903
681,true,true,false,true,true,true,true,false,false,60,9,4820867,52.456,0.508,5.611
682,true,true,false,true,true,false,false,true,true,40,5,3599722,31.684,0.444,3.697
683,true,true,false,true,true,true,true,false,false,60,5,4828682,39.604,0.416,4.035
